Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
10,6,3001.5,4.2112086572633425,0.23507212217948356,2.656,2.3137228374045016,1.552870507664608,2,0.667,8
12,0,3094.0,4.189427443468793,0.5766133643039938,2.4,2.68614536571416,1.552870507664608,2,0.491,4
0,5,2872.0,4.2162671661789055,0.4891933236388768,5.7,2.7180005319553784,1.5040773967762742,2,0.402,4
3,5,2904.0,3.6449275665847534,0.5382462193419828,-1.4,2.642622395779755,1.6094379124341003,1,0.01,3
1,0,2895.0,4.372355014977151,0.4140944348062189,3.0,2.673803762373619,1.552870507664608,1,0.615,2
10,3,3070.5,3.1480240838962494,0.6800619410112898,6.438,2.5398682078619745,1.552870507664608,2,0.957,8
7,0,2994.0,4.3476939555933765,0.4504384737508955,5.2,2.567254391136754,1.552870507664608,1,0.556,2
12,8,2998.5,4.189427443468793,0.6413274318301488,5.7,2.231089091288976,1.6486586255873816,2,0.269,5
0,8,2811.5,4.33165396900921,0.678541028170583,0.8,1.7774914974303502,1.552870507664608,2,0.744,6
3,5,2896.5,3.971423348709594,0.5235443961737654,3.1,2.34660197841082,1.4350845252893227,1,0.484,3
10,7,3062.5,3.920110215610765,0.3798053613275868,4.29,2.971029660913619,1.552870507664608,2,0.717,9
12,5,3039.5,3.931041011263908,0.6971392018294827,0.3,2.134166441369082,1.589235205116581,2,0.64,6
6,9,2907.5,3.1480240838962494,0.4478858239921165,3.9,2.6504210882655737,1.552870507664608,2,0.583,8
1,0,2898.5,4.460144413937834,0.3791211327685624,9.9,2.6775909936175015,1.552870507664608,1,0.436,2
12,2,2824.5,4.6155164780422355,0.7183274790902435,5.3,2.0082140323914683,1.66222009787307,2,0.515,4
12,5,3045.0,4.250778348063927,0.6621723762605146,6.3,2.34660197841082,1.6094379124341003,2,0.517,6
0,0,2914.0,4.5916795958055925,0.41871033485818504,9.7,2.590767040487478,1.552870507664608,2,0.785,4
8,9,2929.5,3.8117605834897517,0.5122246446796981,5.7,2.1955565202355225,1.754576678100339,2,0.111,6
12,9,2987.5,3.813527758679047,0.5833323145527387,1.5,2.050270164379556,1.6094379124341003,2,0.794,5
1,2,2582.0,4.415497677027055,0.4651021095253412,9.2,2.6100697927420065,1.4053614238371164,1,0.776,2
5,0,2967.5,4.516229676691444,0.5086232002107907,7.7,2.68614536571416,1.552870507664608,1,0.913,3
13,2,2779.5,4.5519170776823525,0.3922410274456748,4.3,2.5668705876394307,1.2950011026734998,1,0.919,3
0,3,2948.5,3.947216388996251,0.5429055172294023,12.4,2.2813103827151906,1.552870507664608,2,0.821,5
9,8,2914.5,4.143610803525019,0.30895420772732063,-0.8,2.9714395809849465,1.2950011026734998,1,0.354,1
10,6,3005.5,4.6155164780422355,0.23507212217948356,1.303,2.832153959577172,1.552870507664608,2,0.444,8
1,2,2607.0,4.4948306287831015,0.34185831206881445,3.4,3.1048108685802283,1.3177478185847806,1,0.066,2
7,8,2885.0,4.035832291154432,0.32714314133269456,6.5,2.8492603696537335,1.2950011026734998,1,0.614,2
3,5,2889.0,4.450385972187225,0.44916296337388373,0.2,2.5668705876394307,1.410986973710262,1,0.968,3
0,4,2651.5,4.085471983718502,0.6729444732424258,2.0,1.7774914974303502,1.6863989535702288,2,0.567,8
2,3,3001.0,3.1480240838962494,0.5521594872589678,3.796,2.561327421548119,1.552870507664608,2,0.703,8
10,4,2770.5,3.5709401562492498,0.23507212217948356,11.0,2.791165107812717,1.589235205116581,2,0.583,7
7,5,2946.5,4.2937417198063095,0.4631048875545789,2.9,2.598979106047848,1.4586150226995167,1,0.571,2
9,1,3037.5,4.329917217875331,0.5636078092049601,4.616,2.615130495170516,1.4090338480893803,1,0.875,2
7,8,2897.0,4.410371107683024,0.37363038458814585,-1.4,3.1048108685802283,1.2950011026734998,1,0.091,3
5,2,2673.0,4.079214003795126,0.502486733462803,4.9,2.3561258599220753,1.4107430415222006,1,0.87,1
1,8,2785.0,4.0881588031350145,0.3674170404706345,4.4,2.5982353350950036,1.308332819650179,1,0.661,1
0,8,2809.5,4.026600910135581,0.6856189141391538,10.9,2.1071782966514356,1.5260563034950492,2,0.837,6
